Time,ROS secs,ROS nsecs,________p_x________,________p_y________,________p_z________,________q_x________,________q_y________,________q_z________,________q_w________,gripper_position,gripper_force,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
1,1700149084,510162078,0.7957704684967031,-0.6583157074271185,-0.1442105339793303,0.014798121059501977,0.9982327548430369,-0.052827011876681394,0.022840525120296423,56.655845642089844,29.462366104125977,0.35319907641061654,-0.09318933286403888,-0.1587670115461403,0.3631699515318717,0.09012137128826805,1.2091603560506774,-0.42951462060791584
11,1700149084,520160165,0.7950949021112742,-0.657902865726685,-0.14509763264223446,0.01489167145343198,0.9982700667464174,-0.05235728467765292,0.022222211874827424,56.655845642089844,29.462366104125977,0.35281558121364515,-0.09203884727312482,-0.1587670115461403,0.36201946594095763,0.088970885697354,1.2091603560506774,-0.4298981158048872
21,1700149084,520160165,0.7950949021112742,-0.657902865726685,-0.14509763264223446,0.01489167145343198,0.9982700667464174,-0.05235728467765292,0.022222211874827424,56.655845642089844,29.462366104125977,0.35281558121364515,-0.09127185687918211,-0.1587670115461403,0.36278645633490036,0.08935438089432535,1.2091603560506774,-0.4298981158048872
31,1700149084,530188160,0.7958465194476528,-0.6569079245499841,-0.1447252606336803,0.014781879054020211,0.9982855119438139,-0.0519025927811084,0.02266392634360762,56.655845642089844,29.462366104125977,0.3535825716075879,-0.09203884727312482,-0.1580000211521976,0.3631699515318717,0.0897378760912967,1.2091603560506774,-0.42951462060791584
41,1700149084,550181645,0.7957091586456194,-0.6573403021678139,-0.14439915152488045,0.014620338261931981,0.9982733208665735,-0.05225158339768874,0.022503212827605014,56.655845642089844,29.462366104125977,0.35319907641061654,-0.09280583766706753,-0.1587670115461403,0.362402961137929,0.08935438089432535,1.2095438512476488,-0.4306651061988299
51,1700149084,550181645,0.7957091586456194,-0.6573403021678139,-0.14439915152488045,0.014620338261931981,0.9982733208665735,-0.05225158339768874,0.022503212827605014,56.655845642089844,29.462366104125977,0.35319907641061654,-0.09280583766706753,-0.1587670115461403,0.362402961137929,0.08935438089432535,1.2095438512476488,-0.4306651061988299
61,1700149084,570190269,0.7955046917490559,-0.65735379789246,-0.1446873462175157,0.01431547880935151,0.9982791912544768,-0.052338014879411664,0.02223635701389393,56.655845642089844,29.462366104125977,0.35319907641061654,-0.09280583766706753,-0.15838351634916897,0.36393694192581444,0.08935438089432535,1.20992734644462,-0.4302816110018586
71,1700149084,580179925,0.7953279698963803,-0.6568996953968158,-0.14485356853124598,0.01413343354624402,0.9982983292221939,-0.0521653897302806,0.021896667387031294,56.655845642089844,29.462366104125977,0.3539660668045592,-0.09203884727312482,-0.15838351634916897,0.36355344672884304,0.088970885697354,1.20992734644462,-0.4302816110018586
81,1700149084,590180678,0.7957458679404703,-0.6567631312320071,-0.14475133322804487,0.014338219606575463,0.9983008821399207,-0.05181676535606546,0.022467465482431496,56.655845642089844,30.21505355834961,0.3535825716075879,-0.09203884727312482,-0.15761652595522627,0.3631699515318717,0.08935438089432535,1.2095438512476488,-0.4302816110018586
91,1700149084,600180559,0.7953289651149236,-0.6572271354542425,-0.1449463716699125,0.014554604177126772,0.9982759504616608,-0.05242743501923924,0.022014865078363883,56.655845642089844,30.21505355834961,0.3535825716075879,-0.09203884727312482,-0.15761652595522627,0.3631699515318717,0.08935438089432535,1.2095438512476488,-0.4302816110018586
101,1700149084,600180559,0.7953289651149236,-0.6572271354542425,-0.1449463716699125,0.014554604177126772,0.9982759504616608,-0.05242743501923924,0.022014865078363883,56.655845642089844,30.21505355834961,0.3535825716075879,-0.09203884727312482,-0.15761652595522627,0.3631699515318717,0.08935438089432535,1.2095438512476488,-0.4302816110018586
