Time,ROS secs,ROS nsecs,________p_x________,________p_y________,________p_z________,________q_x________,________q_y________,________q_z________,________q_w________,gripper_position,gripper_force,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
1,1700149032,70563215,0.6800115664586661,-0.6474551052595766,-0.14701363528506553,-0.0013834390170805644,0.9992279248980759,-0.02589386987289547,-0.029515211389671493,54.8701286315918,29.462366104125977,0.2933738256830854,-0.39154859610775183,-0.07439806821244256,0.9959370265346049,-0.0015339807878854137,0.986349646610321,-0.5165680303204131
11,1700149032,70563215,0.6800115664586661,-0.6474551052595766,-0.14701363528506553,-0.0013834390170805644,0.9992279248980759,-0.02589386987289547,-0.029515211389671493,54.8701286315918,29.462366104125977,0.2933738256830854,-0.39154859610775183,-0.07439806821244256,0.9959370265346049,-0.0015339807878854137,0.986349646610321,-0.5165680303204131
21,1700149032,90563544,0.6806061412453571,-0.6477541818166898,-0.14675644563226659,-0.0016143780451080057,0.9992255804053397,-0.026547431702672698,-0.028997708825551208,54.8701286315918,29.462366104125977,0.29260683528914266,-0.39231558650169457,-0.07516505860638527,0.9967040169285476,-0.0019174759848567672,0.9855826562163783,-0.5150340495325276
31,1700149032,100563090,0.6796916353642071,-0.64698090484829,-0.1474913230303165,-0.0017665171231226995,0.9992221485855203,-0.025707830587292275,-0.029851040850951506,54.8701286315918,29.462366104125977,0.292990330486114,-0.39154859610775183,-0.07439806821244256,0.9963205217315763,-0.0019174759848567672,0.985199161019407,-0.5161845351234418
41,1700149032,110582360,0.6798130450869435,-0.6472142077694946,-0.14738851820949825,-0.0012820987721174637,0.9992312802403678,-0.02566818953475446,-0.029603189996049408,54.8701286315918,30.21505355834961,0.29260683528914266,-0.39154859610775183,-0.07439806821244256,0.9959370265346049,-0.0015339807878854137,0.985199161019407,-0.5158010399264704
51,1700149032,110582360,0.6798130450869435,-0.6472142077694946,-0.14738851820949825,-0.0012820987721174637,0.9992312802403678,-0.02566818953475446,-0.029603189996049408,54.8701286315918,30.21505355834961,0.29260683528914266,-0.39154859610775183,-0.07439806821244256,0.9959370265346049,-0.0015339807878854137,0.985199161019407,-0.5158010399264704
61,1700149032,120565233,0.6801419024578539,-0.6472331735393443,-0.14722892835328572,-0.0018918906764166475,0.9992231365014547,-0.026144952021917637,-0.02942763520291124,54.8701286315918,30.21505355834961,0.29260683528914266,-0.39154859610775183,-0.07439806821244256,0.9959370265346049,-0.0015339807878854137,0.985199161019407,-0.5158010399264704
71,1700149032,140562412,0.6795966343219996,-0.6469448262942813,-0.14744724878619508,-0.001871062094630366,0.9992156857999354,-0.02586182328142757,-0.029927887906824106,54.8701286315918,30.21505355834961,0.2922233400921713,-0.39231558650169457,-0.07554855380335662,0.9963205217315763,-0.0023009711818281204,0.985199161019407,-0.5158010399264704
81,1700149032,150561729,0.680906071546064,-0.6469765022809301,-0.146952616247778,-0.0017442565153640364,0.9992476759695946,-0.0258704354759965,-0.028840253238401257,54.8701286315918,30.21505355834961,0.292990330486114,-0.39193209130472323,-0.07363107781849985,0.9951700361406621,-0.0019174759848567672,0.9848156658224356,-0.5158010399264704
91,1700149032,160562686,0.6795324281792536,-0.6476824656145769,-0.1471894443864935,-0.0019113301531966129,0.9992055236391034,-0.02623764880294935,-0.029937503761066048,54.8701286315918,30.21505355834961,0.292990330486114,-0.39193209130472323,-0.07516505860638527,0.9963205217315763,-0.0023009711818281204,0.985199161019407,-0.5165680303204131
