Time,ROS secs,ROS nsecs,________p_x________,________p_y________,________p_z________,________q_x________,________q_y________,________q_z________,________q_w________,gripper_position,gripper_force,right_e0,right_e1,right_s0,right_s1,right_w0,right_w1,right_w2
6,1697207938,893291850,0.8491255763598712,-0.48254167478955795,-0.13385990885281215,-0.014075214120216275,0.9979082658724818,-0.02181480323782555,0.05920384793694863,5.853658676147461,0.0,-0.8206797215186964,0.7712088411093918,0.8206797215186964,-0.15915050674311168,0.9165535207615347,1.0726360659288756,-0.5740923098661161
19,1697207938,903794365,0.8494476574326247,-0.48303787718549784,-0.13321175710670607,-0.013269189921249326,0.997889309478408,-0.021734743626376146,0.05973655118129776,5.853658676147461,0.0,-0.8199127311247536,0.7719758315033345,0.8218302071096104,-0.1580000211521976,0.915786530367592,1.0734030563228183,-0.5752427954570302
32,1697207938,914242982,0.8499000180138369,-0.4827237891024419,-0.13294148402565392,-0.013680892048413738,0.9978709694831216,-0.021658795965738605,0.05997714575477443,5.853658676147461,0.0,-0.8199127311247536,0.7719758315033345,0.8218302071096104,-0.1580000211521976,0.915786530367592,1.0734030563228183,-0.5752427954570302
42,1697207938,924441314,0.8495977081045232,-0.48303102213455734,-0.13346936207007665,-0.01400325855326362,0.9978779663798559,-0.021910124954928802,0.059694383219472145,5.853658676147461,0.0,-0.8199127311247536,0.7719758315033345,0.8218302071096104,-0.1580000211521976,0.915786530367592,1.0734030563228183,-0.5752427954570302
57,1697207938,943476207,0.8493680456197087,-0.4830408459924267,-0.13331403508603126,-0.013902409010171958,0.9978919430680118,-0.02196297304100634,0.05946444987437513,5.853658676147461,0.0,-0.8218302071096104,0.7712088411093918,0.8218302071096104,-0.1580000211521976,0.9154030351706206,1.0730195611258468,-0.5756262906540015
68,1697207938,953460669,0.8495400840241862,-0.48316741394418045,-0.13313407710928532,-0.013562160547462739,0.9978852029894562,-0.021508710034234275,0.05982110704960273,5.853658676147461,0.0,-0.8218302071096104,0.7712088411093918,0.8218302071096104,-0.1580000211521976,0.9154030351706206,1.0730195611258468,-0.5756262906540015
78,1697207938,963439971,0.8489762541760241,-0.482449094892836,-0.13373241411699963,-0.013814396310846359,0.9979382552404824,-0.021155263591754275,0.058998779686634334,5.853658676147461,0.0,-0.8218302071096104,0.7712088411093918,0.8218302071096104,-0.1580000211521976,0.9154030351706206,1.0730195611258468,-0.5756262906540015
90,1697207938,974869835,0.8499469395087584,-0.4831730720876946,-0.13274944157093382,-0.013345694318424285,0.9978603867710384,-0.021759586827042616,0.060191871024494546,5.853658676147461,0.0,-0.8206797215186964,0.7715923363063631,0.8210632167156677,-0.15915050674311168,0.9169370159585061,1.0734030563228183,-0.5748593002600588
104,1697207938,993723974,0.8495260846190269,-0.4834739012405073,-0.1331228880724521,-0.013529701723090109,0.9978782706973564,-0.021894796294425374,0.05980402943417448,5.853658676147461,0.0,-0.8206797215186964,0.7715923363063631,0.8210632167156677,-0.15915050674311168,0.9169370159585061,1.0734030563228183,-0.5748593002600588
116,1697207939,4190877,0.8495373199281236,-0.48312628399271906,-0.13305985018829292,-0.013399315549216419,0.9978933701032994,-0.021540445805381656,0.05971004472614002,5.853658676147461,0.0,-0.8206797215186964,0.7715923363063631,0.8210632167156677,-0.15915050674311168,0.9169370159585061,1.0734030563228183,-0.5748593002600588
