Time,ROS secs,ROS nsecs,________p_x________,________p_y________,________p_z________,________q_x________,________q_y________,________q_z________,________q_w________,gripper_position,gripper_force,right_e0,right_e1,right_s0,right_s1,right_w0,right_w1,right_w2
5,1697207967,473348046,0.9115913275309613,-0.48328102133898787,-0.12929325753009413,-0.0005236043067016519,0.9927745634705492,-0.01650329292269747,0.11885299023204393,5.691056728363037,0.0,-0.7900001057609881,0.5974855168813686,0.7577865092153944,-0.10354370318226543,0.9276748814737039,1.0223981951256282,-0.4916408425172751
21,1697207967,493569516,0.9115999479354493,-0.48285784031922524,-0.12993770110200276,-0.00029223806604046303,0.9927585830513159,-0.016393140139934297,0.1190024173334677,5.691056728363037,0.0,-0.7900001057609881,0.5974855168813686,0.7577865092153944,-0.10354370318226543,0.9276748814737039,1.0223981951256282,-0.4916408425172751
31,1697207967,503560208,0.911778349739105,-0.48307250402267454,-0.12930199909976053,-0.0003276679285725758,0.992746518947088,-0.016399904489136113,0.11910199362275556,5.691056728363037,0.0,-0.7892331153670453,0.5971020216843973,0.7581700044123657,-0.10354370318226543,0.9272913862767326,1.0208642143377429,-0.4916408425172751
42,1697207967,513561744,0.9115813491974873,-0.4830592183227434,-0.12953663898720563,-0.0004245178596318787,0.9927666805223182,-0.016468313854510908,0.11892406177083574,5.691056728363037,0.0,-0.7892331153670453,0.5971020216843973,0.7581700044123657,-0.10354370318226543,0.9272913862767326,1.0208642143377429,-0.4916408425172751
52,1697207967,523845066,0.9119323076901611,-0.4836694624212197,-0.12920719646483142,-0.000443411897471415,0.9927082939653917,-0.017162540434930963,0.11931258812057564,5.691056728363037,0.0,-0.7892331153670453,0.5971020216843973,0.7581700044123657,-0.10354370318226543,0.9272913862767326,1.0208642143377429,-0.4916408425172751
66,1697207967,533927114,0.9119230199618279,-0.48293233371130184,-0.12870721413837893,-0.0002417314547994042,0.9927413026515919,-0.016277101535010042,0.11916250895790664,5.691056728363037,0.0,-0.7892331153670453,0.5971020216843973,0.7581700044123657,-0.10354370318226543,0.9272913862767326,1.0208642143377429,-0.4916408425172751
78,1697207967,553477200,0.9117926391681467,-0.4825039319295621,-0.12918985525083235,-0.0007620121057173915,0.9927705195782173,-0.016267116162182006,0.11891802103009289,5.691056728363037,0.0,-0.7900001057609881,0.5974855168813686,0.7581700044123657,-0.10354370318226543,0.9272913862767326,1.021247709534714,-0.4924078329112178
88,1697207967,564091430,0.912072422146247,-0.48215709189406714,-0.12946835801274126,-0.0007356136100002007,0.9927312799641209,-0.016293641072161105,0.11924169536712736,5.691056728363037,0.0,-0.7900001057609881,0.5974855168813686,0.7581700044123657,-0.10354370318226543,0.9272913862767326,1.021247709534714,-0.4924078329112178
99,1697207967,573284796,0.9114008253356841,-0.48344370618627464,-0.12936006848836273,0.0002995333711350225,0.992775881089503,-0.015864366832141197,0.11892973586002781,5.691056728363037,0.0,-0.7900001057609881,0.5974855168813686,0.7581700044123657,-0.10354370318226543,0.9272913862767326,1.021247709534714,-0.4924078329112178
111,1697207967,584225350,0.9117664024016752,-0.4832982288824593,-0.12922297408668204,-0.0005228925511196892,0.9927437448128493,-0.016614363639886307,0.11909469610012847,5.691056728363037,0.0,-0.7896166105640168,0.5971020216843973,0.7581700044123657,-0.10354370318226543,0.9272913862767326,1.0208642143377429,-0.4920243377142465
121,1697207967,594253910,0.9112652966989685,-0.48279383911412205,-0.12976034605771664,-0.00043103448606692966,0.9928150279100633,-0.015952582730678556,0.11859025958919739,5.691056728363037,0.0,-0.7896166105640168,0.5971020216843973,0.7581700044123657,-0.10354370318226543,0.9272913862767326,1.0208642143377429,-0.4920243377142465
