Time,ROS secs,ROS nsecs,________p_x________,________p_y________,________p_z________,________q_x________,________q_y________,________q_z________,________q_w________,gripper_position,gripper_force,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
0,1715351507,69024721,0.6496141614207649,-0.8385795831294139,0.04598153474556446,0.3748093789709712,0.9256362695923154,-0.022846684889247293,0.04683433398895541,96.10389709472656,0.0,-0.0019174759848567672,-0.5522330836387489,-0.002684466378799474,0.7551020428365949,0.0023009711818281204,1.2567137604751253,-0.011888351106111956
100,1715351507,169026275,0.6502363654417996,-0.8388162829296489,0.04713952092780002,0.3745299755468471,0.9257065593510804,-0.022994525269527187,0.04760163021254659,96.10389709472656,0.0,-0.0019174759848567672,-0.553383569229663,-0.0023009711818281204,0.7543350524426522,0.0023009711818281204,1.2570972556720965,-0.01227184630308331
200,1715351507,269024683,0.649336060673986,-0.8397001398391278,0.047419801906723846,0.3752394571965484,0.925418920564221,-0.023037511189160823,0.04758617764436704,96.10389709472656,0.0,-0.003451456772742181,-0.5537670644266344,-0.0023009711818281204,0.7543350524426522,0.0023009711818281204,1.257480750869068,-0.01227184630308331
300,1715351507,369030060,0.6493259029725571,-0.8400584128609516,0.047586184719333985,0.3753152107740958,0.9253657130380398,-0.023341443076237204,0.04787448934782785,96.10389709472656,0.0,-0.003451456772742181,-0.5541505596236057,-0.002684466378799474,0.7547185476396235,0.0023009711818281204,1.2567137604751253,-0.01227184630308331
400,1715351507,469027079,0.6489271320853649,-0.8392715167096996,0.04598706123676788,0.37481016526417693,0.9256351230469904,-0.023082111687851514,0.04673515931772529,96.10389709472656,0.0,-0.0030679615757708274,-0.5522330836387489,-0.0023009711818281204,0.7551020428365949,0.0015339807878854137,1.2567137604751253,-0.012655341500054663
500,1715351507,569030172,0.6501006819684103,-0.8396537630817504,0.04774360070036865,0.3749074498918054,0.9255201884591924,-0.023368030822973906,0.04806994805012065,96.10389709472656,0.0,-0.0023009711818281204,-0.5537670644266344,-0.0030679615757708274,0.7535680620487095,0.002684466378799474,1.2570972556720965,-0.01227184630308331
600,1715351507,659031946,0.6500472104315581,-0.8392407144597475,0.0468852498236301,0.3744781625384425,0.9257165197386998,-0.02308323027260962,0.04777232823385304,96.10389709472656,0.0,-0.0023009711818281204,-0.5530000740326917,-0.002684466378799474,0.7543350524426522,0.002684466378799474,1.2563302652781538,-0.013038836697026017
700,1715351507,769025491,0.6507930705606233,-0.8391647251946865,0.04706864143006237,0.37420347248320673,0.9257951380959967,-0.02313844369737129,0.04837081643499554,96.10389709472656,0.0,-0.0019174759848567672,-0.5530000740326917,-0.0023009711818281204,0.7539515572456809,0.002684466378799474,1.2555632748842112,-0.013038836697026017
800,1715351507,869034004,0.6499330208624484,-0.8388886729069055,0.04671327772074166,0.37479615242113967,0.9256091628229083,-0.023067835862359807,0.047364509679844374,96.10389709472656,0.0,-0.0019174759848567672,-0.5530000740326917,-0.002684466378799474,0.7547185476396235,0.0023009711818281204,1.2567137604751253,-0.011888351106111956
900,1715351507,969029310,0.649850502358963,-0.8392525135885033,0.04659758587633095,0.3746138262661188,0.9256719992918334,-0.023171069565235902,0.04752822774437629,96.10389709472656,0.0,-0.0023009711818281204,-0.5526165788357204,-0.002684466378799474,0.7543350524426522,0.0023009711818281204,1.2563302652781538,-0.012655341500054663
1000,1715351508,69042345,0.6505896214911479,-0.8386694832113034,0.047152997109458666,0.37458115110140233,0.9256763425827848,-0.022596633514625642,0.0479756414851671,96.10389709472656,0.0,-0.0023009711818281204,-0.553383569229663,-0.0015339807878854137,0.7543350524426522,0.002684466378799474,1.2567137604751253,-0.01227184630308331
1100,1715351508,169024579,0.6499209399531769,-0.8390429149196719,0.04644790174105845,0.3747478055672939,0.925628746339535,-0.02306264708549784,0.04736687114227174,96.10389709472656,0.0,-0.0019174759848567672,-0.5522330836387489,-0.0030679615757708274,0.7539515572456809,0.002684466378799474,1.2567137604751253,-0.01227184630308331
1200,1715351508,269025983,0.6499371681203434,-0.839537553665783,0.04717552752052448,0.3743815707809846,0.9257434380014977,-0.023498468083423346,0.04780531826546392,96.10389709472656,0.0,-0.0023009711818281204,-0.553383569229663,-0.002684466378799474,0.7543350524426522,0.0019174759848567672,1.2563302652781538,-0.013038836697026017
1300,1715351508,369024685,0.6520411611555113,-0.840349090193387,0.0487668298028803,0.36908199806371805,0.9277122849865451,-0.024615897654915588,0.050224023862887504,96.10389709472656,0.0,-0.0015339807878854137,-0.5549175500175484,-0.0023009711818281204,0.7535680620487095,0.0019174759848567672,1.2532623037023831,-0.02339320701525256
1400,1715351508,459025660,0.6564659106774864,-0.8444751569863741,0.04881101401394919,0.36314904875378345,0.9295370993692453,-0.029900681831780143,0.05647564529446969,96.10389709472656,0.0,0.0007669903939427069,-0.5541505596236057,-0.0023009711818281204,0.7539515572456809,-0.002684466378799474,1.2363885150356435,-0.032213596545593685
1500,1715351508,569024908,0.6596400179630498,-0.8442145787687455,0.04198869030923014,0.32622510348830663,0.9428865985618473,-0.03560706127570917,0.057220462195103024,96.10389709472656,0.0,0.006135923151541655,-0.548014636472064,-0.0019174759848567672,0.7616214611851079,-0.008820389530341128,1.2160632695961617,-0.10354370318226543
1600,1715351508,669026310,0.6680581428987608,-0.8330888463973102,0.031137438861022076,0.2542153331434751,0.9648299539763568,-0.033734097810013804,0.057790439950547744,96.10389709472656,0.0,0.016106798272796843,-0.5426457037144651,0.0,0.7807962210336756,0.002684466378799474,1.191519576989995,-0.2469709068495516
1700,1715351508,769028040,0.6707345435125329,-0.8093764733623787,0.016384790197734922,0.1313826705527849,0.9899515680883999,-0.029474417040139533,0.043194275753629136,96.10389709472656,0.0,0.036432043712278574,-0.5384272565477802,0.0023009711818281204,0.8095583608065271,0.004985437560627594,1.1876846250202815,-0.4778350154263064
1800,1715351508,869025166,0.6690910700947742,-0.7737262878789208,-0.002224820638300623,0.014872994049784207,0.9994934210536589,-0.01501954971316768,0.02379303353636435,96.10389709472656,0.0,0.06442719309118737,-0.5391942469417229,0.0038349519697135344,0.8590292412158317,0.010354370318226542,1.1876846250202815,-0.6853059169878086
1900,1715351508,969036158,0.6659776422334395,-0.7344458518499423,-0.019014748667341944,-0.05533815723843933,0.9984192954133208,0.005496584561049353,0.008147788533418507,96.10389709472656,0.0,0.0947233136519243,-0.5437961893053792,0.0038349519697135344,0.9146360447766779,0.022626216621309852,1.1876846250202815,-0.8003544760792146
2000,1715351509,69025585,0.6676911449076094,-0.7020213729344563,-0.028407036246213685,-0.07930723075758639,0.9967144738444652,0.01591914329396752,-0.004147487829992,96.10389709472656,0.0,0.13077186216723152,-0.5499321124569209,0.0030679615757708274,0.9545195452616987,0.0222427214243385,1.185767149035425,-0.8130098175792693
