Time,ROS secs,ROS nsecs,________p_x________,________p_y________,________p_z________,________q_x________,________q_y________,________q_z________,________q_w________,gripper_position,gripper_force,right_e0,right_e1,right_s0,right_s1,right_w0,right_w1,right_w2
6,1697207949,94141065,0.8893589457521098,-0.48512258166611993,-0.1319457963211399,-0.013374539230383025,0.9954066044702912,-0.0352587398781061,0.08799792463182464,5.853658676147461,0.0,-0.8440729285339489,0.6224127046845066,0.7957525337155584,-0.09779127522769512,0.9207719679282196,1.0630486860045918,-0.4924078329112178
16,1697207949,103217201,0.8894922575563423,-0.4847097724983955,-0.13177595211009538,-0.012910757462557983,0.995419124940527,-0.03478825227904128,0.08811274339020567,5.853658676147461,0.0,-0.8440729285339489,0.6224127046845066,0.7957525337155584,-0.09779127522769512,0.9207719679282196,1.0630486860045918,-0.4924078329112178
27,1697207949,113683322,0.8886352134567224,-0.4848729737669244,-0.13247097091466745,-0.01223099090980597,0.9955052894152381,-0.03386842058500504,0.08759310300888273,5.853658676147461,0.0,-0.8440729285339489,0.6224127046845066,0.7957525337155584,-0.09779127522769512,0.9207719679282196,1.0630486860045918,-0.4924078329112178
42,1697207949,123253252,0.8896051613414525,-0.4848677616401351,-0.1314833320727569,-0.012490948878675336,0.9954139481766368,-0.03430180684197494,0.08842190915653433,5.853658676147461,0.0,-0.8429224429430349,0.6224127046845066,0.7946020481246443,-0.09779127522769512,0.9211554631251909,1.063432181201563,-0.49279132810818915
55,1697207949,143314156,0.889451675889366,-0.48443129907166915,-0.13204374291439266,-0.012757457554546416,0.9954375270235455,-0.033972076592462194,0.08824553859537576,5.853658676147461,0.0,-0.8429224429430349,0.6224127046845066,0.7946020481246443,-0.09779127522769512,0.9211554631251909,1.063432181201563,-0.49279132810818915
65,1697207949,153298924,0.8888841053435018,-0.48583977032077635,-0.13215727779313524,-0.012435053825571838,0.995450189382048,-0.034602389407936335,0.08790315433965629,5.853658676147461,0.0,-0.8429224429430349,0.6224127046845066,0.7946020481246443,-0.09779127522769512,0.9211554631251909,1.063432181201563,-0.49279132810818915
75,1697207949,163999218,0.8895853957346619,-0.48401833295826746,-0.1318728200966943,-0.012485054956790637,0.9954467865075826,-0.03351834406307964,0.08835349028602289,5.853658676147461,0.0,-0.8444564237309202,0.6216457142905639,0.794218552927673,-0.09740778003072377,0.9215389583221623,1.0630486860045918,-0.4931748233051605
90,1697207949,174139217,0.8889793038314753,-0.48481985588696214,-0.13210655900769835,-0.012164661276407088,0.9954841907813453,-0.03383344486036136,0.08785524986773141,5.853658676147461,0.0,-0.8444564237309202,0.6216457142905639,0.794218552927673,-0.09740778003072377,0.9215389583221623,1.0630486860045918,-0.4931748233051605
103,1697207949,184160097,0.8890162914404502,-0.4859111800588361,-0.13214028119981014,-0.012038119194801569,0.9954465172290737,-0.034135390648367646,0.08818214177509365,5.853658676147461,0.0,-0.8444564237309202,0.6216457142905639,0.794218552927673,-0.09740778003072377,0.9215389583221623,1.0630486860045918,-0.4931748233051605
116,1697207949,203479363,0.8885989700518392,-0.4850199851503452,-0.13272387743290992,-0.011890640988742289,0.9955047009581113,-0.0336638780292556,0.08772540306667027,5.853658676147461,0.0,-0.8433059381400062,0.6212622190935926,0.7934515625337303,-0.09779127522769512,0.922305948716105,1.0638156763985345,-0.49279132810818915
