Time,ROS secs,ROS nsecs,________p_x________,________p_y________,________p_z________,________q_x________,________q_y________,________q_z________,________q_w________,gripper_position,gripper_force,right_e0,right_e1,right_s0,right_s1,right_w0,right_w1,right_w2
6,1697207915,283444064,0.8050379012725744,-0.4789400241540986,-0.13349878476193758,-0.003287352697470406,0.9992687980486437,-0.011554201982435428,0.036298250305087126,5.853658676147461,0.0,-0.865932154761316,0.9514515836859279,0.8797379818522848,-0.20133497840996056,0.9855826562163783,1.077238008292532,-0.6615292147755847
18,1697207915,303284868,0.8057838011758015,-0.4785082907565272,-0.13343061043124857,-0.0033335677291413102,0.9992398870488202,-0.011611933954583417,0.03706343813909947,5.853658676147461,0.0,-0.8651651643673733,0.9503010980950138,0.8789709914583421,-0.2009514832129892,0.986349646610321,1.0787719890804173,-0.6626797003664987
28,1697207915,314148175,0.8055060988667516,-0.4788795351036774,-0.13357027189652187,-0.0031999522957485184,0.9992465044613534,-0.011949018967214169,0.03678864733572898,5.853658676147461,0.0,-0.8651651643673733,0.9503010980950138,0.8789709914583421,-0.2009514832129892,0.986349646610321,1.0787719890804173,-0.6626797003664987
44,1697207915,323448685,0.8057498296948661,-0.47863506666453753,-0.13365180585711245,-0.0030448115091430573,0.9992442989151417,-0.011469228437125339,0.037013740793357765,5.853658676147461,0.0,-0.8651651643673733,0.9503010980950138,0.8789709914583421,-0.2009514832129892,0.986349646610321,1.0787719890804173,-0.6626797003664987
55,1697207915,333579159,0.805384249516144,-0.4790955002078048,-0.1337370108169224,-0.0026041020299800138,0.9992526575107709,-0.011597690234938698,0.036780955554390274,5.853658676147461,0.0,-0.8655486595643447,0.9499176028980425,0.8789709914583421,-0.20056798801601786,0.986349646610321,1.0780049986864746,-0.6615292147755847
67,1697207915,343782372,0.8044683387900445,-0.47886205278984245,-0.13442170158184472,-0.002643550951588939,0.9992812901958612,-0.011392702051834853,0.03605719127746736,5.853658676147461,0.0,-0.8655486595643447,0.9499176028980425,0.8789709914583421,-0.20056798801601786,0.986349646610321,1.0780049986864746,-0.6615292147755847
81,1697207915,363471928,0.8056556168894952,-0.4783335207997938,-0.13348872598128902,-0.0026986458185784324,0.999247617773108,-0.010832697880316395,0.03714254086823184,5.853658676147461,0.0,-0.8655486595643447,0.9499176028980425,0.8789709914583421,-0.20056798801601786,0.986349646610321,1.0780049986864746,-0.6615292147755847
96,1697207915,373232069,0.8051804939743732,-0.47854667216572355,-0.13387935751689833,-0.0032273574607907477,0.9992616300674482,-0.011330530474232936,0.0365704514319844,5.853658676147461,0.0,-0.864781669170402,0.9506845932919852,0.8793544866553135,-0.2009514832129892,0.9859661514133496,1.0780049986864746,-0.6626797003664987
109,1697207915,394014865,0.8051563243527129,-0.478539645010043,-0.1339740425197181,-0.0027498580733971057,0.9992598573987777,-0.011658337481691114,0.036554874355054764,5.853658676147461,0.0,-0.864781669170402,0.9506845932919852,0.8793544866553135,-0.2009514832129892,0.9859661514133496,1.0780049986864746,-0.6626797003664987
123,1697207915,404110820,0.8048728758307349,-0.47879124884608315,-0.13415179013424647,-0.0031740334189592186,0.9992696105566098,-0.011729496979058708,0.03622968162315466,5.853658676147461,0.0,-0.864781669170402,0.9506845932919852,0.8793544866553135,-0.2009514832129892,0.9859661514133496,1.0780049986864746,-0.6626797003664987
134,1697207915,413418454,0.8054319276214208,-0.47828967947060314,-0.13353061283736337,-0.003112219289874983,0.9992570320384159,-0.011230267629827682,0.036736617996632845,5.853658676147461,0.0,-0.8651651643673733,0.9506845932919852,0.8797379818522848,-0.20133497840996056,0.986349646610321,1.0783884938834458,-0.6622962051695274
148,1697207915,433894884,0.8047796360651628,-0.4788093416233897,-0.13397145831416,-0.0025131690514407683,0.9992753048242016,-0.01119769635589328,0.03629270926975818,5.853658676147461,0.0,-0.8651651643673733,0.9506845932919852,0.8797379818522848,-0.20133497840996056,0.986349646610321,1.0783884938834458,-0.6622962051695274
160,1697207915,443591647,0.805512478567727,-0.47776049497328976,-0.13364118322330515,-0.003525298742084364,0.9992584382999536,-0.011039987889183683,0.036718720327967955,5.853658676147461,0.0,-0.8651651643673733,0.9506845932919852,0.8797379818522848,-0.20133497840996056,0.986349646610321,1.0783884938834458,-0.6622962051695274
174,1697207915,453797869,0.8053510579082093,-0.4788187925544501,-0.13341994796072065,-0.002890746232144605,0.9992548825558162,-0.011427594398875413,0.03675232456373788,5.853658676147461,0.0,-0.8655486595643447,0.9506845932919852,0.8793544866553135,-0.20133497840996056,0.986349646610321,1.0783884938834458,-0.6622962051695274
197,1697207915,483539862,0.8048220302759624,-0.4798689397903834,-0.13379377962194464,-0.002566294423979321,0.9992617158396382,-0.011925423568265092,0.036431053551460355,5.853658676147461,0.0,-0.8655486595643447,0.9506845932919852,0.8793544866553135,-0.20133497840996056,0.986349646610321,1.0783884938834458,-0.6622962051695274
209,1697207915,493615375,0.8048093288055004,-0.4789395579345788,-0.13407037365246066,-0.0025405849059139634,0.9992711618956809,-0.011142299955653313,0.036421691115188747,5.853658676147461,0.0,-0.8655486595643447,0.9506845932919852,0.8793544866553135,-0.20133497840996056,0.986349646610321,1.0783884938834458,-0.6622962051695274
221,1697207915,503610608,0.8050369294101769,-0.47857409534079703,-0.1339128370139023,-0.0030887337173254987,0.9992678259882548,-0.011456529009777625,0.036373336549986146,5.853658676147461,0.0,-0.8643981739734307,0.9510680884889565,0.8785874962613707,-0.2009514832129892,0.9859661514133496,1.0780049986864746,-0.6622962051695274
