Time,ROS secs,ROS nsecs,________p_x________,________p_y________,________p_z________,________q_x________,________q_y________,________q_z________,________q_w________,gripper_position,gripper_force,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
1,1700134640,44639637,0.5984655334227478,-0.6476222413243141,-0.151536373894992,0.0016113584806842405,0.9993480918215711,-0.027814370155545377,-0.022959871717451043,48.05194854736328,30.21505355834961,0.5564515308054339,-0.4371845245473429,-0.5871311465631421,1.3656263964149895,0.6412039693361029,0.833335063018751,-0.9606554684132403
11,1700134640,54640063,0.5981897121952211,-0.64731818258163,-0.15160020002587948,0.0014923428714971828,0.9993403409951831,-0.027828107459223813,-0.02328630944617503,48.05194854736328,30.21505355834961,0.5572185211993765,-0.4371845245473429,-0.5875146417601135,1.3663933868089322,0.6412039693361029,0.833335063018751,-0.9606554684132403
21,1700134640,64640932,0.5988828691552004,-0.6467438657133779,-0.15153613064579854,0.0005323443062802879,0.9993463581777643,-0.02774154427666387,-0.02317282303746056,48.05194854736328,30.21505355834961,0.5579855115933192,-0.4371845245473429,-0.5871311465631421,1.3656263964149895,0.6408204741391316,0.8337185582157224,-0.9610389636102117
31,1700134640,64640932,0.5988828691552004,-0.6467438657133779,-0.15153613064579854,0.0005323443062802879,0.9993463581777643,-0.02774154427666387,-0.02317282303746056,48.05194854736328,30.21505355834961,0.5579855115933192,-0.4371845245473429,-0.5871311465631421,1.3656263964149895,0.6408204741391316,0.8337185582157224,-0.9610389636102117
41,1700134640,74640801,0.5988567765322982,-0.6470707462587676,-0.15121762076594092,0.0016181520607482002,0.9993587361422852,-0.027504816259199465,-0.022868825123966152,48.05194854736328,30.21505355834961,0.5579855115933192,-0.4371845245473429,-0.5871311465631421,1.3656263964149895,0.6408204741391316,0.8337185582157224,-0.9610389636102117
51,1700134640,94641342,0.5985168407087106,-0.6470936569266398,-0.15127777551873695,0.0011093005569708025,0.9993496768020563,-0.027659682398874848,-0.023107031343153152,48.05194854736328,30.21505355834961,0.5572185211993765,-0.43795151494128565,-0.5871311465631421,1.3663933868089322,0.6408204741391316,0.8337185582157224,-0.9610389636102117
61,1700134640,104639420,0.598512965568039,-0.6476682177968576,-0.15151881980448767,0.0013496493152532014,0.9993367569723335,-0.02813489028240706,-0.023079266876185545,48.05194854736328,30.21505355834961,0.5568350260024052,-0.4371845245473429,-0.5871311465631421,1.3656263964149895,0.6404369789421602,0.8329515678217797,-0.960271973216269
71,1700134640,114641568,0.5980322922465895,-0.6477098352116942,-0.15158816470950953,0.001741361812153684,0.9993330635657587,-0.02806516216589506,-0.0232968323150728,48.05194854736328,30.21505355834961,0.5568350260024052,-0.4371845245473429,-0.5875146417601135,1.3663933868089322,0.6408204741391316,0.8329515678217797,-0.960271973216269
81,1700134640,114641568,0.5980322922465895,-0.6477098352116942,-0.15158816470950953,0.001741361812153684,0.9993330635657587,-0.02806516216589506,-0.0232968323150728,48.05194854736328,30.21505355834961,0.5568350260024052,-0.4371845245473429,-0.5875146417601135,1.3663933868089322,0.6408204741391316,0.8329515678217797,-0.960271973216269
91,1700134640,124653631,0.5986359647081685,-0.6472459706090845,-0.15140288888842998,0.0011974243145761263,0.9993457895945833,-0.027859571583614053,-0.023030485573849818,48.05194854736328,30.21505355834961,0.5568350260024052,-0.4371845245473429,-0.5875146417601135,1.3663933868089322,0.6408204741391316,0.8329515678217797,-0.960271973216269
101,1700134640,144639446,0.5971814867369266,-0.6470603666473765,-0.15217951550468192,0.0020774502692402315,0.9993403721615808,-0.027181011297726373,-0.023993694862716398,48.05194854736328,30.21505355834961,0.5564515308054339,-0.43641753415340023,-0.5871311465631421,1.3667768820059036,0.6412039693361029,0.8341020534126937,-0.960271973216269
111,1700134640,144639446,0.5971814867369266,-0.6470603666473765,-0.15217951550468192,0.0020774502692402315,0.9993403721615808,-0.027181011297726373,-0.023993694862716398,48.05194854736328,30.21505355834961,0.5564515308054339,-0.43641753415340023,-0.5871311465631421,1.3667768820059036,0.6412039693361029,0.8341020534126937,-0.960271973216269
121,1700134640,154646423,0.5986500381746037,-0.6472678454590179,-0.1511845181441693,0.0013767469918534946,0.9993419394192471,-0.02799665231065722,-0.023021297637069598,48.05194854736328,30.21505355834961,0.5576020163963479,-0.43795151494128565,-0.5875146417601135,1.3663933868089322,0.6408204741391316,0.833335063018751,-0.960271973216269
131,1700134640,174645373,0.5982257095890711,-0.6475011695948633,-0.15172623323065332,0.0009671541512820932,0.9993358855814478,-0.02792700105265909,-0.023386641789621427,48.05194854736328,30.21505355834961,0.5572185211993765,-0.43641753415340023,-0.5871311465631421,1.3663933868089322,0.6408204741391316,0.833335063018751,-0.960271973216269
141,1700134640,184648056,0.5983961224057224,-0.6471251518522481,-0.15159266198098487,0.0007448298883784553,0.999333153773731,-0.027976843711085567,-0.023451848819476914,48.05194854736328,30.21505355834961,0.5572185211993765,-0.43641753415340023,-0.5871311465631421,1.3663933868089322,0.6408204741391316,0.833335063018751,-0.960271973216269
151,1700134640,194653069,0.5980310092896319,-0.6471493053652794,-0.1519758593268985,0.001570577202093275,0.9993414037531196,-0.027686779898738096,-0.023403723012280872,48.05194854736328,30.21505355834961,0.5576020163963479,-0.4371845245473429,-0.5871311465631421,1.366009891611961,0.6400534837451889,0.833335063018751,-0.9606554684132403
161,1700134640,194653069,0.5980310092896319,-0.6471493053652794,-0.1519758593268985,0.001570577202093275,0.9993414037531196,-0.027686779898738096,-0.023403723012280872,48.05194854736328,30.21505355834961,0.5568350260024052,-0.4368010293503716,-0.5867476513661708,1.3663933868089322,0.6408204741391316,0.8329515678217797,-0.960271973216269
171,1700134640,214646224,0.5976460854001976,-0.6473986470448342,-0.1520165362469847,0.0015696462328950538,0.999337319499017,-0.02757165199055947,-0.023712065994654676,48.05194854736328,30.21505355834961,0.5564515308054339,-0.43641753415340023,-0.5871311465631421,1.366009891611961,0.6408204741391316,0.8337185582157224,-0.9606554684132403
181,1700134640,224645810,0.5975219147947447,-0.6470488170981372,-0.1520061785118813,0.0011748686857580028,0.9993327428882665,-0.02750381409956227,-0.024004767963094174,48.05194854736328,30.21505355834961,0.5564515308054339,-0.43641753415340023,-0.5871311465631421,1.366009891611961,0.6408204741391316,0.8337185582157224,-0.9606554684132403
191,1700134640,234645934,0.5982033868428358,-0.6473294991851583,-0.15149564278765704,0.0023165148240207436,0.9993541855052842,-0.027469647318723315,-0.02304916806145398,48.05194854736328,30.21505355834961,0.5564515308054339,-0.43641753415340023,-0.5871311465631421,1.366009891611961,0.6408204741391316,0.8337185582157224,-0.9606554684132403
201,1700134640,234645934,0.5982033868428358,-0.6473294991851583,-0.15149564278765704,0.0023165148240207436,0.9993541855052842,-0.027469647318723315,-0.02304916806145398,48.05194854736328,30.21505355834961,0.5564515308054339,-0.43641753415340023,-0.5871311465631421,1.366009891611961,0.6408204741391316,0.8337185582157224,-0.9606554684132403
211,1700134640,244645704,0.5981255111991902,-0.6476452046074672,-0.15159613949625728,0.0018688957821762818,0.999337811544079,-0.02798708513022823,-0.02317690041312004,48.05194854736328,30.21505355834961,0.5568350260024052,-0.4371845245473429,-0.5875146417601135,1.3663933868089322,0.6412039693361029,0.8329515678217797,-0.960271973216269
