Time,ROS secs,ROS nsecs,________p_x________,________p_y________,________p_z________,________q_x________,________q_y________,________q_z________,________q_w________,gripper_position,gripper_force,right_e0,right_e1,right_s0,right_s1,right_w0,right_w1,right_w2
5,1697207606,603415919,0.764847879634664,-0.47892551595355715,-0.13397011430925893,0.024925600923283546,0.9994878392975393,-0.0153840171430533,0.012888193492187986,5.853658676147461,0.0,-1.2210487071567893,1.0680341235652193,1.026616642292313,-0.029529130166794215,1.3729128051574453,1.233704048656844,-0.7355437877910559
15,1697207606,613571416,0.7651017427635021,-0.4792662524725463,-0.1337417206578756,0.024724434995731487,0.9994850382356036,-0.015599085724000315,0.013229859481160568,5.853658676147461,0.0,-1.2214322023537607,1.0684176187621908,1.026616642292313,-0.028762139772851508,1.3729128051574453,1.2329370582629013,-0.7363107781849986
33,1697207606,634160492,0.7649531769388528,-0.4800400166354444,-0.13380970117044141,0.024794961954340236,0.9994801070567847,-0.015724247176478297,0.013321918411932506,5.853658676147461,0.0,-1.2214322023537607,1.0684176187621908,1.026616642292313,-0.028762139772851508,1.3729128051574453,1.2329370582629013,-0.7363107781849986
44,1697207606,643857819,0.7648656879531464,-0.47835985614103815,-0.1343089166744208,0.02447786081016295,0.9995078753038051,-0.014843498950500378,0.012826226052042384,5.853658676147461,0.0,-1.2214322023537607,1.0684176187621908,1.026616642292313,-0.028762139772851508,1.3729128051574453,1.2329370582629013,-0.7363107781849986
55,1697207606,653851704,0.764835036482586,-0.47919939595047056,-0.13404177928379982,0.025355438401140813,0.9994803970372367,-0.014971903674281016,0.013110292984596272,5.853658676147461,0.0,-1.220665211959818,1.0684176187621908,1.0258496518983704,-0.028762139772851508,1.3732963003544167,1.2333205534598726,-0.7359272829880272
69,1697207606,664104626,0.7644081890166438,-0.4794879972897594,-0.13413264219618495,0.025220805865250693,0.9994817826653678,-0.015484368811569383,0.012661413589066804,5.853658676147461,0.0,-1.220665211959818,1.0684176187621908,1.0258496518983704,-0.028762139772851508,1.3732963003544167,1.2333205534598726,-0.7359272829880272
85,1697207606,683469402,0.7649702121157448,-0.4791977287113147,-0.13396422957120463,0.02479335261033363,0.9994876523142857,-0.015393636985090754,0.013143761942026457,5.853658676147461,0.0,-1.220665211959818,1.0684176187621908,1.0258496518983704,-0.028762139772851508,1.3732963003544167,1.2333205534598726,-0.7359272829880272
98,1697207606,703689561,0.7644021924939955,-0.47968942187739294,-0.13398022764613435,0.025369683433249,0.9994845344519254,-0.015009588408558792,0.012718365056893251,5.853658676147461,0.0,-1.2210487071567893,1.0684176187621908,1.0258496518983704,-0.02914563496982286,1.3721458147635026,1.2333205534598726,-0.7366942733819699
110,1697207606,714034703,0.7650735721524287,-0.4791854242569886,-0.13379565450402825,0.02442579840376944,0.9994964089209041,-0.015431849355933563,0.013121240490562004,5.853658676147461,0.0,-1.2210487071567893,1.0684176187621908,1.0258496518983704,-0.02914563496982286,1.3721458147635026,1.2333205534598726,-0.7366942733819699
120,1697207606,724067404,0.7644385550067844,-0.47954061425789596,-0.13408315011115535,0.025187511982790924,0.9994847530327744,-0.01545226225823274,0.012531771073296371,5.853658676147461,0.0,-1.2210487071567893,1.0684176187621908,1.0258496518983704,-0.02914563496982286,1.3721458147635026,1.2333205534598726,-0.7366942733819699
