Time,ROS secs,ROS nsecs,________p_x________,________p_y________,________p_z________,________q_x________,________q_y________,________q_z________,________q_w________,gripper_position,gripper_force,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
1,1715351100,559660411,0.6536222268397043,-0.836709357042774,0.04544084926563138,0.3741737870751224,0.9257736877056235,-0.023348462263514617,0.048907111218318165,96.2662353515625,0.0,0.0038349519697135344,-0.5518495884417776,-0.004601942363656241,0.756252528427509,0.004218447166684887,1.2509613325205549,-0.008820389530341128
101,1715351100,659661166,0.6513504087107226,-0.8359601774055521,0.04289463599921253,0.37409631275804056,0.9259564702667967,-0.022701563868230513,0.04627313421230405,96.2662353515625,0.0,0.0030679615757708274,-0.5495486172599495,-0.004985437560627594,0.7581700044123657,0.0038349519697135344,1.252111818111469,-0.009970875121255189
201,1715351100,759660296,0.652148318071257,-0.83661489973864,0.04423060642893731,0.3741508714289952,0.9258699529502318,-0.023101107323144094,0.04735287185909398,96.2662353515625,0.0,0.003451456772742181,-0.5503156076538922,-0.005752427954570301,0.756252528427509,0.004601942363656241,1.2524953133084402,-0.009970875121255189
301,1715351100,859663345,0.6531351168865964,-0.8377940676642252,0.04741303309771111,0.37405614649563856,0.9257849039344548,-0.024249184426661102,0.04915575216134613,96.2662353515625,0.0,0.003451456772742181,-0.5541505596236057,-0.005368932757598948,0.7554855380335662,0.003451456772742181,1.2528788085054117,-0.009587379924283835
401,1715351100,959707154,0.6537250347459138,-0.837920796944694,0.04705276037085698,0.3743687972310039,0.9256273053210612,-0.023667517129648014,0.05001943559058339,96.2662353515625,0.0,0.002684466378799474,-0.553383569229663,-0.004601942363656241,0.7551020428365949,0.004601942363656241,1.2513448277175263,-0.009587379924283835
501,1715351101,59706069,0.6530997508477381,-0.8371711564314408,0.04557932031869169,0.37456599074128605,0.9256144154092044,-0.023501331314974765,0.04884628945068116,96.2662353515625,0.0,0.003451456772742181,-0.5522330836387489,-0.005368932757598948,0.7566360236244803,0.004601942363656241,1.2509613325205549,-0.008820389530341128
601,1715351101,159707230,0.6525517493566072,-0.8377985399923278,0.0454503887144877,0.374966867898149,0.9254518868972705,-0.023549242457565022,0.048827105142622125,96.2662353515625,0.0,0.0023009711818281204,-0.5518495884417776,-0.004985437560627594,0.756252528427509,0.004218447166684887,1.2509613325205549,-0.008820389530341128
701,1715351101,259706597,0.6529754500346717,-0.8373223917025141,0.045992179852698434,0.37407974239873704,0.9258109755166123,-0.023553989810962933,0.04882205960279022,96.2662353515625,0.0,0.0030679615757708274,-0.5526165788357204,-0.004985437560627594,0.756252528427509,0.004218447166684887,1.2517283229144975,-0.009970875121255189
801,1715351101,359709409,0.6540754732430637,-0.8375147218651695,0.04622533552067479,0.3742299378582869,0.9256825419484848,-0.02394352316623629,0.04990483784927554,96.2662353515625,0.0,0.0038349519697135344,-0.5526165788357204,-0.004985437560627594,0.7558690332305377,0.004218447166684887,1.249810846929641,-0.008820389530341128
901,1715351101,459752428,0.6528748733310286,-0.8387498533699888,0.04501135155948738,0.3688752741677069,0.9278143691639197,-0.025167070818583583,0.049579703781581184,96.2662353515625,0.0,0.0030679615757708274,-0.5518495884417776,-0.006135923151541655,0.7577865092153944,0.003451456772742181,1.24674288535387,-0.02147573103039579
