Time,ROS secs,ROS nsecs,________p_x________,________p_y________,________p_z________,________q_x________,________q_y________,________q_z________,________q_w________,gripper_position,gripper_force,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
1,1715351836,689026195,0.6485343584086821,-0.8395305953676895,0.047213076811285504,0.37435637965787094,0.9258275919811785,-0.02349051472643804,0.046354791054127036,96.10389709472656,0.0,-0.002684466378799474,-0.553383569229663,-0.003451456772742181,0.7539515572456809,0.0015339807878854137,1.2593982268539248,-0.013805827090968724
101,1715351836,789183011,0.6482663633703248,-0.8402426231682264,0.04766219529396168,0.37447171251550077,0.9257562723030275,-0.024297687244772093,0.04643148944268894,96.10389709472656,0.0,-0.002684466378799474,-0.5537670644266344,-0.0038349519697135344,0.7535680620487095,0.0003834951969713534,1.2593982268539248,-0.01342233189399737
201,1715351836,889183779,0.6480448039523509,-0.8407397849690659,0.04864749338775168,0.3746896656485749,0.9256462180324158,-0.024481182715278688,0.046769703776118,96.10389709472656,0.0,-0.003451456772742181,-0.5553010452145197,-0.003451456772742181,0.7539515572456809,0.0,1.259781722050896,-0.01342233189399737
301,1715351836,989183266,0.6476896884551261,-0.839817624742955,0.048138925941033084,0.37467759854871235,0.9257173132601845,-0.023709743376230705,0.04584758603404279,96.10389709472656,0.0,-0.003451456772742181,-0.5549175500175484,-0.0030679615757708274,0.7543350524426522,0.0003834951969713534,1.2613157028387814,-0.01342233189399737
401,1715351837,79211200,0.647882497132057,-0.8400902405465251,0.047623718404562615,0.37493858056863855,0.9255909505003959,-0.023704748592241767,0.0462659491108439,96.10389709472656,0.0,-0.0038349519697135344,-0.5541505596236057,-0.002684466378799474,0.7543350524426522,0.0003834951969713534,1.259781722050896,-0.013038836697026017
501,1715351837,189185965,0.6484112223766942,-0.8397207739960344,0.04818094860309263,0.37440254350821095,0.9257973076677315,-0.023766168766347483,0.04644620277193386,96.10389709472656,0.0,-0.0030679615757708274,-0.5549175500175484,-0.002684466378799474,0.7543350524426522,0.0003834951969713534,1.2601652172478675,-0.01342233189399737
601,1715351837,279183465,0.6498240267765187,-0.8395789126492158,0.048680318039521414,0.3742445177287416,0.9257968924271491,-0.02398938877903789,0.04759899314295932,96.10389709472656,0.0,-0.0019174759848567672,-0.5553010452145197,-0.002684466378799474,0.7539515572456809,0.0007669903939427069,1.2586312364599819,-0.012655341500054663
701,1715351837,389182914,0.6489266528492489,-0.8383884938704923,0.04715445772381882,0.37361611247829346,0.9261572617784033,-0.023573635513525763,0.0456947552834336,96.10389709472656,0.0,-0.0011504855909140602,-0.5537670644266344,-0.0030679615757708274,0.7547185476396235,0.0003834951969713534,1.2601652172478675,-0.01342233189399737
801,1715351837,489185554,0.6491527842321865,-0.8370368798590258,0.04583387886883461,0.36929424306710973,0.9279443430253933,-0.022739606315415085,0.04498853842126841,96.10389709472656,0.0,-0.0007669903939427069,-0.5526165788357204,-0.0023009711818281204,0.7558690332305377,0.0011504855909140602,1.259781722050896,-0.0222427214243385
901,1715351837,589184407,0.6504291124972316,-0.8394578022917977,0.04135149599661894,0.36828053663538485,0.9280935763974002,-0.02547844610493015,0.04860667206787812,96.10389709472656,0.0,-0.0003834951969713534,-0.5506991028508635,-0.0030679615757708274,0.7654564131548215,-0.0003834951969713534,1.2394564766114142,-0.023776702212223912
1001,1715351837,689182799,0.6569121312946946,-0.8407446371916937,0.035488060002574234,0.3554684291130199,0.9323633177063335,-0.029568708064398357,0.058877255395977934,96.10389709472656,0.0,0.0030679615757708274,-0.5560680356084625,-0.002684466378799474,0.7949855433216156,0.0011504855909140602,1.1930535577778805,-0.047553404424447825
1101,1715351837,789197329,0.6678091143381081,-0.842524940534226,0.025624774980424925,0.3210412661863747,0.9431274611932557,-0.03935021486686623,0.07677667574559797,96.10389709472656,0.0,0.009970875121255189,-0.5683398819115458,-0.0023009711818281204,0.8532768132612614,0.0023009711818281204,1.1060001480653834,-0.11313108310654926
1201,1715351837,879182922,0.6756500243618639,-0.8391369721837999,0.015940368209249933,0.2668191862737096,0.9581641331219262,-0.049613728740715915,0.09092575958102332,96.10389709472656,0.0,0.017257283863710903,-0.5894321177449703,-0.0011504855909140602,0.9295923574585607,0.005368932757598948,1.0158787767771154,-0.21974274786458553
1301,1715351837,989183145,0.6814063738916477,-0.8231974761273442,0.004143319562594172,0.18940657105672495,0.9748044095453992,-0.05733255368927073,0.10292954997884064,96.10389709472656,0.0,0.028762139772851508,-0.6270146470481629,0.0003834951969713534,1.0457914021408807,0.021092235833424438,0.9088836168221076,-0.375441797834955
1401,1715351838,89185161,0.6933261405003002,-0.8027642804236295,-0.001175703562078051,0.12848213548481513,0.9817558543057374,-0.06135653504488547,0.12602840554795264,96.10389709472656,0.0,0.04065049087896346,-0.6722670802907825,0.0023009711818281204,1.1662088939898858,0.06442719309118737,0.7923010769428162,-0.5138835639416136
1501,1715351838,189185384,0.7073820117309886,-0.7723265759411981,-0.00921836113088996,0.06285789127270457,0.9842853319340491,-0.06382154038838331,0.1521777967598489,96.10389709472656,0.0,0.055223308363874894,-0.7136845615636888,0.009970875121255189,1.2946797849752891,0.13038836697026016,0.6649806715483269,-0.6787864986392956
1601,1715351838,289182947,0.7153343333675364,-0.733011313108393,-0.019085287797803288,0.012906131295277056,0.9830073391936788,-0.05693640237763722,0.17403519457467453,96.10389709472656,0.0,0.07094661143970038,-0.7489661196850532,0.015339807878854137,1.418165238400065,0.2346990605464683,0.56105347316909,-0.8494418612915479
1701,1715351838,389258815,0.715125169488404,-0.6877925850226323,-0.02934296342661412,-0.0033661009477571713,0.9816223073763198,-0.03528616339461959,0.18751320406437424,96.10389709472656,0.0,0.08820389530341129,-0.7773447642609335,0.01687378866673955,1.5247769031581013,0.3643204371227858,0.5027622032294443,-0.978679742670894
1801,1715351838,489258320,0.7110094881543406,-0.6413185060837118,-0.03774350046169936,-0.00013972217430719932,0.9815261770740883,-0.003596426739893515,0.19129404044753753,96.10389709472656,0.0,0.10699515995500761,-0.7972865145034438,0.01802427425765361,1.602626428143286,0.4778350154263064,0.4916408425172751,-1.0530778108833365
1901,1715351838,589260380,0.7130498532182485,-0.6024615583737064,-0.04082212808178999,0.010438432522857503,0.9804763188959582,0.02379310279729264,0.19491309722533984,96.10389709472656,0.0,0.12962137657631745,-0.8099418560034984,0.018791264651596317,1.6505633277647052,0.5660389107297177,0.49279132810818915,-1.0864418930198443
2001,1715351838,689262848,0.7230527085689816,-0.5702071424398193,-0.04361711946978486,-0.0007984596467271615,0.9791960237213961,0.03571116443714666,0.1997478969224526,96.10389709472656,0.0,0.15684953556128356,-0.8114758367913839,0.028762139772851508,1.6751070203708718,0.6128253247602228,0.4786020058202491,-1.1217234511412089
2101,1715351838,789259098,0.7380606896234699,-0.541703629804013,-0.043974860942358335,-0.01598537559762543,0.976519076312066,0.04588411189687186,0.20987998866273017,96.10389709472656,0.0,0.18522818013716372,-0.8076408848216703,0.0337475773334791,1.6854613906890983,0.679169993836267,0.4686311306989939,-1.1830826826566254
2201,1715351838,889258667,0.7551033701192553,-0.5165816561394545,-0.041942532105941774,-0.025893054602619776,0.9720730834052794,0.05784048009989428,0.22596006086056972,96.10389709472656,0.0,0.21015536794030168,-0.8018884568671001,0.03298058693953639,1.692747799431554,0.7830971922155037,0.46326219794139495,-1.2739710443388361
2301,1715351838,989259056,0.7716111362138728,-0.49539417506121874,-0.043409847411866,-0.04434321315411475,0.9663080747969706,0.06352158019386034,0.24545344340427613,96.10389709472656,0.0,0.22971362298584072,-0.7873156393821886,0.03489806292439316,1.7015681889618952,0.9111845880039358,0.44677190447162674,-1.4150972768242942
2402,1715351839,89265093,0.7844948955524776,-0.48070509586463206,-0.05052998426591396,-0.079598456671905,0.9595110873207497,0.06153752320781237,0.26308875354422007,96.10389709472656,0.0,0.24313595487983808,-0.7597039852002512,0.03528155812136451,1.7011846937649238,1.0377380030044825,0.4348835533655148,-1.6003254569614578
2502,1715351839,189260192,0.7957591739251476,-0.46473548278433796,-0.0610931167504395,-0.1101283129791963,0.9529590470926819,0.06048591669556435,0.2758301345503449,96.10389709472656,0.0,0.2592427531526349,-0.7251894174728294,0.03681553890924993,1.6923643042345826,1.1428156869746333,0.42836413501700177,-1.7541070309469706
2602,1715351839,279259326,0.8119287655861391,-0.45599976544778476,-0.06903186035832941,-0.12562954340845964,0.94882906120642,0.05285534170766928,0.284863025480829,96.10389709472656,0.0,0.2807184841830307,-0.6929758209272356,0.03911651009107805,1.665519640446588,1.2014904521112504,0.4088058799714628,-1.8281216039624417
2702,1715351839,389265562,0.8346270763632581,-0.45311572729876964,-0.07742227315020354,-0.1364652234631497,0.9455521598502903,0.03768893583371555,0.2930663745695265,96.10389709472656,0.0,0.3090971287589109,-0.6530923204422149,0.038733014894106695,1.6160487600372835,1.239072981414443,0.37697577862284043,-1.868388599644434
2802,1715351839,489259533,0.8572502732992529,-0.4460068533595591,-0.08057239502981403,-0.13000330936945625,0.9420041070883083,0.04463024921247297,0.3061626081626904,96.10389709472656,0.0,0.32213596545593687,-0.6124418295632514,0.0395000052880494,1.5573739949006664,1.2701360923691225,0.3888641297289524,-1.86723811405352
2902,1715351839,589260985,0.8722832444825537,-0.4322288929047115,-0.08719176482003298,-0.1302158002632083,0.9370598061606414,0.06493408845280482,0.31740562250344084,96.10389709472656,0.0,0.3255874222286791,-0.565271920335775,0.04065049087896346,1.4998497153549633,1.2904613378086043,0.431815591789744,-1.8710730660232333
3002,1715351839,689258655,0.8833771607426217,-0.42399673753790035,-0.09877542265919466,-0.13864260600543407,0.9324882711906601,0.07675662986564841,0.3245801467489099,96.10389709472656,0.0,0.3271214030165645,-0.5127330783506996,0.04141748127290617,1.4388739790365181,1.2939127945813464,0.46326219794139495,-1.8818109315384313
3102,1715351839,789258858,0.8965727705361459,-0.42319451253108603,-0.10985590566725198,-0.12998700031026375,0.9295541114201104,0.08525986487042336,0.3343101690565005,96.10389709472656,0.0,0.3236699462438223,-0.45904375077471005,0.04601942363656241,1.3775147475211016,1.3165390112026563,0.47821851062327775,-1.8841119027202595
3202,1715351839,889261382,0.9130986523961384,-0.42349665273069753,-0.11745760952067562,-0.11558341663061536,0.9265912853108951,0.09001302260932932,0.346362121985978,96.10389709472656,0.0,0.3236699462438223,-0.41072335595631954,0.05292233718204677,1.318456487187513,1.349903093339164,0.4801359866081345,-1.8844953979172308
3302,1715351839,989259604,0.9288316258097034,-0.41586192906686514,-0.11878871540295162,-0.1038202187556845,0.9206725241060502,0.10473820854492709,0.3614047221668747,96.10389709472656,0.0,0.32328645104685094,-0.37007286507735604,0.06020874592450249,1.2666846355963803,1.3871021274453854,0.5039126888203584,-1.8875633594930017
